source,target,compat_percent,distance,explanation,rank
커피고양이형,스위트펭귄형,76,26.46,둘은 안정·공감에서 공통점이 있어 이해가 빠릅니다 (예상 궁합 76%),1
커피고양이형,철벽곰형,64,39.37,둘은 안정·공감에서 공통점이 있어 이해가 빠릅니다 / 창의에서 서로 보완됩니다 (예상 궁합 64%),2
커피고양이형,힙스터곰치형,61,42.13,둘은 창의에서 공통점이 있어 이해가 빠릅니다 (예상 궁합 61%),3
도심여우형,픽시버터플라이형,73,29.15,둘은 모험·창의에서 공통점이 있어 이해가 빠릅니다 (예상 궁합 73%),1
도심여우형,힙스터곰치형,67,35.71,둘은 창의에서 공통점이 있어 이해가 빠릅니다 (예상 궁합 67%),2
도심여우형,모험토끼형,65,38.08,둘은 모험에서 공통점이 있어 이해가 빠릅니다 (예상 궁합 65%),3
모험토끼형,도심여우형,65,38.08,둘은 모험에서 공통점이 있어 이해가 빠릅니다 (예상 궁합 65%),1
모험토끼형,까칠늑대형,61,42.72,둘은 외향에서 공통점이 있어 이해가 빠릅니다 (예상 궁합 61%),2
모험토끼형,픽시버터플라이형,51,53.39,둘은 모험에서 공통점이 있어 이해가 빠릅니다 (예상 궁합 51%),3
철벽곰형,커피고양이형,64,39.37,둘은 안정·공감에서 공통점이 있어 이해가 빠릅니다 / 창의에서 서로 보완됩니다 (예상 궁합 64%),1
철벽곰형,스위트펭귄형,61,41.83,둘은 안정·공감에서 공통점이 있어 이해가 빠릅니다 (예상 궁합 61%),2
철벽곰형,힙스터곰치형,40,65.38,창의에서 서로 보완됩니다 (예상 궁합 40%),3
픽시버터플라이형,도심여우형,73,29.15,둘은 모험·창의에서 공통점이 있어 이해가 빠릅니다 (예상 궁합 73%),1
픽시버터플라이형,힙스터곰치형,71,32.02,둘은 창의에서 공통점이 있어 이해가 빠릅니다 (예상 궁합 71%),2
픽시버터플라이형,모험토끼형,51,53.39,둘은 모험에서 공통점이 있어 이해가 빠릅니다 (예상 궁합 51%),3
까칠늑대형,도심여우형,61,42.72,성향이 달라 서로에게 신선한 자극을 줍니다 (예상 궁합 61%),1
까칠늑대형,모험토끼형,61,42.72,둘은 외향에서 공통점이 있어 이해가 빠릅니다 (예상 궁합 61%),2
까칠늑대형,힙스터곰치형,55,48.48,성향이 달라 서로에게 신선한 자극을 줍니다 (예상 궁합 55%),3
스위트펭귄형,커피고양이형,76,26.46,둘은 안정·공감에서 공통점이 있어 이해가 빠릅니다 (예상 궁합 76%),1
스위트펭귄형,철벽곰형,61,41.83,둘은 안정·공감에서 공통점이 있어 이해가 빠릅니다 (예상 궁합 61%),2
스위트펭귄형,힙스터곰치형,51,53.62,성향이 달라 서로에게 신선한 자극을 줍니다 (예상 궁합 51%),3
힙스터곰치형,픽시버터플라이형,71,32.02,둘은 창의에서 공통점이 있어 이해가 빠릅니다 (예상 궁합 71%),1
힙스터곰치형,도심여우형,67,35.71,둘은 창의에서 공통점이 있어 이해가 빠릅니다 (예상 궁합 67%),2
힙스터곰치형,커피고양이형,61,42.13,둘은 창의에서 공통점이 있어 이해가 빠릅니다 (예상 궁합 61%),3
